[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.port (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.timeout (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.type (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.host (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.lastChecked (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.timeout (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.type (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.expectedValue (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.host (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.lastChecked (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.A (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.AAAA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.ANY (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.CAA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.CNAME (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.MX (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.NAPTR (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.NS (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.PTR (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.SOA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.SRV (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.TLSA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.recordType.__type.TXT (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.timeout (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.MonitorSchemaType.__type.type (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.host (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.lastChecked (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.timeout (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PingMonitorSchemaType.__type.type (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.expectedValue (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.host (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.lastChecked (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.A (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.AAAA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.ANY (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.CAA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.CNAME (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.MX (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.NAPTR (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.NS (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.PTR (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.SOA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.SRV (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.TLSA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.recordType.__type.TXT (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.timeout (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.DnsMonitorSchemaType.__type.type (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.host (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.lastChecked (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.port (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.timeout (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.PortMonitorSchemaType.__type.type (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.identifier (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.lastChecked (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.timeout (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.type (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.url (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.host (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.lastChecked (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.port (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.timeout (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.type (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.host (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.lastChecked (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.timeout (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.type (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.checkInterval (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.expectedValue (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.host (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.id (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.lastChecked (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.monitoring (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.A (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.AAAA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.ANY (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.CAA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.CNAME (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.MX (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.NAPTR (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.NS (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.PTR (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.SOA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.SRV (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.TLSA (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.recordType.__type.TXT (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.responseTime (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.retryAttempts (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.down (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.paused (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.pending (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
[warning] shared/types/schemaTypes.SiteSchemaType.__type.monitors.__type.status.__type.up (Property), defined in uptime-watcher/shared/types/schemaTypes.ts, does not have any documentation
